Company,Top Executive (Name),Title,Company Phone,Website,HQ Address (Colombo),Source / Verification
John Keells Holdings PLC,Krishan Balendra,Chairperson-CEO,+94 11 2306000,keells.com,"117 Sir Chittampalam A Gardiner Mw, Colombo 02",keells.com/leadership (official)
Hayleys PLC,Mohan Pandithage,Chairman & Chief Executive,+94 11 2627801,hayleys.com,"400 Deans Road, Colombo 10",hayleys.com/contact (official)
Hemas Holdings PLC,Ashish Chandra,Group CEO (Chairman: Ajith Fernando),+94 11 4731731,hemas.com,"Hemas House, 75 Braybrooke Place, Colombo 02",hemas.com/about (official)
Dialog Axiata PLC,Supun Weerasinghe,Group Chief Executive,+94 11 7100200,dialog.lk,"475 Union Place, Colombo 02",dialog.lk/structure-and-management (official)
Aitken Spence PLC,Stasshani Jayawardena,Executive Chairperson (Dep. Chair & MD: Dr Parakrama Dissanayake),+94 11 2308308,aitkenspence.com,"315 Vauxhall St, Colombo 02",aitkenspence.com / adaderana biz
Commercial Bank of Ceylon PLC,Sanath Manatunge,Managing Director / CEO,+94 11 2486000,combank.lk,"Commercial House, 21 Sir Razik Fareed Mw, Colombo 01",combank.lk (official)
Sampath Bank PLC,Sanjaya Gunawardana,Managing Director / CEO (from Sep 2025),+94 11 2300260,sampath.lk,"110 Sir James Peiris Mw, Colombo 02",EconomyNext / sampath.lk (official)
Softlogic Holdings PLC,Ashok Pathirage,Chairman & Managing Director,+94 11 5575000,softlogic.lk,"14 De Fonseka Place, Colombo 05",softlogic.lk (official)
LOLC Holdings PLC,Ishara Nanayakkara,Executive Chairman (Group MD/CEO: Kapila Jayawardena),+94 11 5880880,lolc.com,"100/1 Sri Jayawardenepura Mw, Rajagiriya",lolc.com (official)
Cargills (Ceylon) PLC,Imtiaz Abdul Wahid,Deputy Chairman & Managing Director,(verify via website),cargillsceylon.com,"40 York Street, Colombo 01",cargillsceylon.com / MarketScreener
Nestlé Lanka PLC,Bernie Stefan,Chairman & Managing Director,(verify via website),nestle.lk,"Nestlé Lanka, Colombo 03",nestle.lk / island.lk
Ceylon Tobacco Company PLC,Fariyha Subhani,Managing Director & CEO,(verify via website),ceylontobacco.com,"178 Srimath Ramanathan Mw, Colombo 15",ceylontobacco.com / MarketScreener
